CRN,Course #,Course Title,Units,type,Days,Time,Bldg/Rm,Start-End,Instructor
30168,CHEM-010-07L,General Chemistry II,0,LAB,T,3:30-6:20pm,SCIENG 110,28-AUG 12-DEC,"Cho, Eunbit"
30169,CHEM-010-08L,General Chemistry II,0,LAB,T,7:00-9:50pm,SCIENG 110,28-AUG 12-DEC,"Hua, Alyssa"
30170,CHEM-010-09L,General Chemistry II,0,LAB,W,8:30-11:20am,SCIENG 110,28-AUG 12-DEC,"Gong, Ke"
30952,CHEM-010-10L,General Chemistry II,0,LAB,W,12:00-2:50pm,SCIENG 110,28-AUG 12-DEC,"Gong, Ke"
30953,CHEM-010-11L,General Chemistry II,0,LAB,W,7:00-9:50pm,SCIENG 110,28-AUG 12-DEC,"Sheng, Xianghai"
30954,CHEM-010-12L,General Chemistry II,0,LAB,R,8:30-11:20am,SCIENG 110,28-AUG 12-DEC,"Zhan, Wu"
30955,CHEM-010-13L,General Chemistry II,0,LAB,R,12:00-2:50pm,SCIENG 110,28-AUG 12-DEC,"Zeng, Youhong"
31074,CHEM-010-14L,General Chemistry II,0,LAB,R,3:30-6:20pm,SCIENG 110,28-AUG 12-DEC,"Zeng, Youhong"
31155,CHEM-010-15L,General Chemistry II,0,LAB,R,7:00-9:50pm,SCIENG 110,28-AUG 12-DEC,"Cho, Eunbit"
34842,CHEM-010H-01,Honors Gen Chem IIMust Also Register for a Corresponding Lab,4,LECT,MWF,8:30-9:20am,SSB 170,17-DEC 17-DEC,"Hratchian, Hrant"
34843,CHEM-010H-02L,Honors Gen Chem II,0,LAB,M,3:30-6:20pm,SCIENG 110,28-AUG 12-DEC,"Dale, Stephen"
30171,CHEM-100-01,Organic Synth and MechanismMust Also Register for a Corresponding Lab,3,LECT,TR,9:00-10:15am,SCIENG 110,28-AUG 12-DEC,"Meyer, Matthew"
30172,CHEM-100L-01,Organic Chemistry Laboratory,1,LAB,W,10:30-1:20pm,SCIENG 110,28-AUG 12-DEC,"Ventura, Dusty"
30173,CHEM-100L-02,Organic Chemistry Laboratory,1,LAB,W,2:00-4:50pm,SCIENG 110,28-AUG 12-DEC,"Keshavarz, Amir"
30174,CHEM-100L-03,Organic Chemistry Laboratory,1,LAB,W,5:30-8:20pm,CLSSRM 274,28-AUG 12-DEC,"Keshavarz, Amir"
30175,CHEM-100L-04,Organic Chemistry Laboratory,1,LAB,R,10:30-1:20pm,SCIENG 110,28-AUG 12-DEC,"Ventura, Dusty"
30176,CHEM-100L-05,Organic Chemistry Laboratory,1,LAB,R,2:00-4:50pm,CLSSRM 105,28-AUG 12-DEC,"Xiang, Shuhuai"
30956,CHEM-100L-06,Organic Chemistry Laboratory,1,LAB,R,5:30-8:20pm,CLSSRM 127,18-DEC 18-DEC,"Xiang, Shuhuai"
30177,CHEM-101L-01,Advanced Synthetic Laboratory,2,LAB,MT,10:30-1:20pm,SCIENG 118,28-AUG 12-DEC,"Tramontano, Al"
30957,CHEM-101L-02,Advanced Synthetic Laboratory,2,LAB,MT,2:30-5:20pm,CLSSRM 288,13-DEC 13-DEC,"Tramontano, Al"
30178,CHEM-111-01,Biochemistry IMust Also Register for a Corresponding Discussion,4,LECT,TR,9:00-10:15am,SCIENG 118,28-AUG 12-DEC,"LiWang, Andy"
30179,CHEM-111-02D,Biochemistry I,0,DISC,F,8:30-9:20am,SCIENG 118,28-AUG 12-DEC,"Fischer, Kathryn"
30180,CHEM-111-03D,Biochemistry I,0,DISC,F,10:30-11:20am,SSB 170,15-DEC 15-DEC,"Fischer, Kathryn"
